State,Domain,"Reporting Program","Measure Name","Measure Abbreviation","Rate Definition",FFY,Population,Methodology,"State Rate","Number of States Reporting",Median,"Bottom Quartile","Top Quartile",Notes,Source,Location
Louisiana,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated and Engaged in Treatment: Ages 18-64",2016,"Medicaid & CHIP",Administrative,10.1,26,13.7,6.9,17.9,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(31.1801, -91.8749)"
"New Jersey","Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled (<140/90) During the Measurement Year: Ages 18-85",2016,"Medicaid & CHIP",Hybrid,54.3,26,54.9,48.2,62.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.314, -74.5089)"
Minnesota,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2016,"Medicaid & Dual Eligibles",Administrative,63,36,59.7,48.4,70.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(45.7326, -93.9196)"
Oregon,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated Treatment: Ages 18-64",2016,"Medicaid & CHIP & Dual Eligibles",Administrative,37.7,26,35.7,32.5,39.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(44.5672, -122.1269)"
Arkansas,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64",2016,Medicaid,Administrative,36.6,35,52.3,47.9,60.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(34.9513, -92.3809)"
"New Hampshire","Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2016,"Medicaid & Dual Eligibles",Administrative,73.9,28,60.6,55.4,67.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(43.4108, -71.5653)"
Washington,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women: Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24",2016,"Medicaid & CHIP",Administrative,59.7,37,59.4,55.7,66.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(47.3917, -121.5708)"
Texas,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2016,Medicaid,"Administrative & Hybrid",62.6,36,54.3,49.6,63.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(31.106, -97.6475)"
Louisiana,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2016,"Medicaid & CHIP",Administrative,44.6,36,59.7,48.4,70.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(31.1801, -91.8749)"
Pennsylvania,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 08: Heart Failure Admission Rate: Age 18 and Older",PQI08-AD,"Inpatient Hospital Admissions for Heart Failure per 100,000 Enrollee-Months: Ages 18-64 [Lower rates are better]",2016,Medicaid,Administrative,18.5,25,20.8,29.6,14,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.5773, -77.264)"
"New Mexico","Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2016,Medicaid,Administrative,37.6,36,38.3,31.2,55.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(34.8375, -106.2371)"
Vermont,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older",PQI01-AD,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Enrollee-Months: Ages 18-64 [Lower rates are better]",2016,"Medicaid & CHIP",Administrative,9.7,25,18.5,27.9,15.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(44.0407, -72.7093)"
"District of Columbia","Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64",2016,"Medicaid & CHIP & Dual Eligibles",Administrative,60.6,35,52.3,47.9,60.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(38.8964, -77.0262)"
"New Hampshire","Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated Treatment: Ages 18-64",2016,Medicaid,Administrative,37,26,35.7,32.5,39.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(43.4108, -71.5653)"
"North Carolina","Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated and Engaged in Treatment: Ages 18-64",2016,Medicaid,Administrative,3.5,26,13.7,6.9,17.9,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(35.6411, -79.8431)"
Louisiana,"Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled (<140/90) During the Measurement Year: Ages 18-85",2016,"Medicaid & CHIP",Hybrid,26.3,26,54.9,48.2,62.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(31.1801, -91.8749)"
Connecticut,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women: Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24",2016,"Medicaid & CHIP",Administrative,68.7,37,59.4,55.7,66.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(41.5834, -72.7622)"
Massachusetts,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated and Engaged in Treatment: Ages 18-64",2016,Medicaid,Administrative,17.9,26,13.7,6.9,17.9,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.2373, -71.5314)"
Pennsylvania,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2016,"Medicaid & Dual Eligibles",Administrative,41.6,36,38.3,31.2,55.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.5773, -77.264)"
"West Virginia","Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2016,Medicaid,Hybrid,80.9,37,83.3,78.8,86.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(38.468, -80.9696)"
Kentucky,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64",2016,"Medicaid & Dual Eligibles",Administrative,49.9,35,52.3,47.9,60.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(37.669, -84.6514)"
Louisiana,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 08: Heart Failure Admission Rate: Age 18 and Older",PQI08-AD,"Inpatient Hospital Admissions for Heart Failure per 100,000 Enrollee-Months: Ages 18-64 [Lower rates are better]",2016,"Medicaid & CHIP",Administrative,29.6,25,20.8,29.6,14,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(31.1801, -91.8749)"
Texas,"Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled (<140/90) During the Measurement Year: Ages 18-85",2016,Medicaid,Hybrid,43.6,26,54.9,48.2,62.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(31.106, -97.6475)"
Minnesota,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older",PQI01-AD,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Enrollee-Months: Ages 18-64 [Lower rates are better]",2016,"Medicaid & Dual Eligibles",Administrative,18.6,25,18.5,27.9,15.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(45.7326, -93.9196)"
Washington,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2016,"Medicaid & CHIP",Administrative,54.2,33,52.4,46,55.5,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(47.3917, -121.5708)"
"New Mexico","Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2016,Medicaid,Administrative,52.2,28,60.6,55.4,67.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(34.8375, -106.2371)"
Colorado,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older",PQI01-AD,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Enrollee-Months: Ages 18-64 [Lower rates are better]",2016,"Medicaid & Dual Eligibles",Administrative,18.5,25,18.5,27.9,15.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(39.0646, -105.3272)"
Delaware,"Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled (<140/90) During the Measurement Year: Ages 18-85",2016,"Medicaid & CHIP & Dual Eligibles",Hybrid,40.3,26,54.9,48.2,62.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(39.3498, -75.5148)"
California,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2016,Medicaid,Administrative,73.9,32,85.9,83.4,89.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(36.17, -119.7462)"
Tennessee,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women: Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24",2016,Medicaid,Administrative,54.6,37,59.4,55.7,66.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(35.7449, -86.7489)"
Washington,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64",2016,"Medicaid & CHIP",Administrative,52.3,35,52.3,47.9,60.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(47.3917, -121.5708)"
Iowa,"Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2016,Medicaid,Administrative,70.6,25,78.6,73,81.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.0046, -93.214)"
Pennsylvania,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2016,Medicaid,Administrative,87.4,32,85.9,83.4,89.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.5773, -77.264)"
Maryland,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2016,"Medicaid & CHIP",Hybrid,88.9,37,83.3,78.8,86.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(39.0724, -76.7902)"
Mississippi,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2016,Medicaid,Administrative,26.4,36,38.3,31.2,55.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(32.7673, -89.6812)"
Hawaii,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2016,Medicaid,Hybrid,51.1,36,54.3,49.6,63.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(21.1098, -157.5311)"
Iowa,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64",2016,Medicaid,Administrative,53.2,39,52.8,47.9,62.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.0046, -93.214)"
Connecticut,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2016,"Medicaid & CHIP",Administrative,40.5,36,38.3,31.2,55.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(41.5834, -72.7622)"
Nevada,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2016,Medicaid,Administrative,54.6,36,38.3,31.2,55.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(38.4199, -117.1219)"
Alabama,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 08: Heart Failure Admission Rate: Age 18 and Older",PQI08-AD,"Inpatient Hospital Admissions for Heart Failure per 100,000 Enrollee-Months: Ages 18-64 [Lower rates are better]",2016,Medicaid,Administrative,64.8,25,20.8,29.6,14,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(32.799, -86.8073)"
Iowa,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2016,Medicaid,Administrative,68.4,36,59.7,48.4,70.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.0046, -93.214)"
"West Virginia","Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64",2016,Medicaid,Hybrid,52,39,52.8,47.9,62.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(38.468, -80.9696)"
Washington,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2016,"Medicaid & CHIP",Administrative,63.4,36,38.3,31.2,55.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(47.3917, -121.5708)"
Iowa,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated Treatment: Ages 18-64",2016,Medicaid,Administrative,30.2,26,35.7,32.5,39.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.0046, -93.214)"
"North Carolina","Care of Acute and Chronic Conditions","Adult Core Set","PQI 08: Heart Failure Admission Rate: Age 18 and Older",PQI08-AD,"Inpatient Hospital Admissions for Heart Failure per 100,000 Enrollee-Months: Ages 18-64 [Lower rates are better]",2016,Medicaid,Administrative,55.2,25,20.8,29.6,14,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(35.6411, -79.8431)"
Connecticut,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64",2016,Medicaid,Hybrid,66.1,39,52.8,47.9,62.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(41.5834, -72.7622)"
Virginia,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2016,"Medicaid & CHIP",Hybrid,64.5,36,54.3,49.6,63.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(37.768, -78.2057)"
Georgia,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2016,"Medicaid & CHIP",Hybrid,71.5,37,83.3,78.8,86.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(32.9866, -83.6487)"
Nevada,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2016,Medicaid,Hybrid,55.2,36,54.3,49.6,63.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(38.4199, -117.1219)"
Tennessee,"Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2016,Medicaid,Administrative,58.6,28,60.6,55.4,67.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(35.7449, -86.7489)"
"West Virginia","Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled (<140/90) During the Measurement Year: Ages 18-85",2016,Medicaid,Hybrid,54.8,26,54.9,48.2,62.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(38.468, -80.9696)"
Utah,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2016,"Medicaid & Dual Eligibles",Administrative,23.1,33,37.1,31.2,39.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.1135, -111.8535)"
"New Mexico","Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2016,Medicaid,Hybrid,84.1,37,83.3,78.8,86.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(34.8375, -106.2371)"
Georgia,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2016,"Medicaid & CHIP",Administrative,90.3,32,85.9,83.4,89.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(32.9866, -83.6487)"
"North Carolina","Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64",2016,Medicaid,Administrative,27.9,35,52.3,47.9,60.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(35.6411, -79.8431)"
Delaware,"Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2016,"Medicaid & CHIP & Dual Eligibles",Administrative,53,28,60.6,55.4,67.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(39.3498, -75.5148)"
"New Jersey","Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64",2016,"Medicaid & CHIP",Hybrid,55.4,39,52.8,47.9,62.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.314, -74.5089)"
"South Carolina","Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated and Engaged in Treatment: Ages 18-64",2016,Medicaid,Administrative,6.9,26,13.7,6.9,17.9,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(33.8191, -80.9066)"
Hawaii,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated and Engaged in Treatment: Ages 18-64",2016,"Medicaid & Dual Eligibles",Administrative,13.8,26,13.7,6.9,17.9,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(21.1098, -157.5311)"
"South Carolina","Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2016,Medicaid,Administrative,31.5,36,38.3,31.2,55.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(33.8191, -80.9066)"
Texas,"Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2016,Medicaid,Administrative,79,25,78.6,73,81.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(31.106, -97.6475)"
Illinois,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older",PQI01-AD,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Enrollee-Months: Ages 18-64 [Lower rates are better]",2016,"Medicaid & CHIP",Administrative,13.6,25,18.5,27.9,15.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.3363, -89.0022)"
Colorado,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2016,"Medicaid & Dual Eligibles","Administrative & Hybrid",50.1,36,54.3,49.6,63.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(39.0646, -105.3272)"
"North Carolina","Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2016,Medicaid,Administrative,32.6,36,54.3,49.6,63.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(35.6411, -79.8431)"
Oregon,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64",2016,"Medicaid & CHIP & Dual Eligibles",Administrative,48.2,39,52.8,47.9,62.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(44.5672, -122.1269)"
Louisiana,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2016,"Medicaid & CHIP",Administrative,89.4,32,85.9,83.4,89.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(31.1801, -91.8749)"
Oregon,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women: Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24",2016,"Medicaid & CHIP & Dual Eligibles",Administrative,49.3,37,59.4,55.7,66.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(44.5672, -122.1269)"
Texas,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2016,Medicaid,Administrative,47.9,36,59.7,48.4,70.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(31.106, -97.6475)"
Michigan,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64",2016,Medicaid,Administrative,61.7,39,52.8,47.9,62.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(43.3504, -84.5603)"
"New York","Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled (<140/90) During the Measurement Year: Ages 18-85",2016,"Medicaid & CHIP",Hybrid,64.2,26,54.9,48.2,62.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.1497, -74.9384)"
