"state","population","measure_abbreviation","state_rate","ffy"
"Wisconsin","Medicaid","FUH-AD","40.7","2019"
"Wisconsin","Medicaid","FUH-AD","62.5","2019"
"Wisconsin","Medicaid","IET-AD","40.0","2019"
"Wisconsin","Medicaid","IET-AD","13.6","2019"
"Wisconsin","Medicaid","IET-AD","56.9","2019"
"Wisconsin","Medicaid","IET-AD","33.7","2019"
"Wisconsin","Medicaid","IET-AD","40.1","2019"
"Wisconsin","Medicaid","IET-AD","12.0","2019"
"Wisconsin","Medicaid","IET-AD","42.0","2019"
"Wisconsin","Medicaid","IET-AD","16.7","2019"
"Wisconsin","Medicaid","MPM-AD","86.9","2019"
"Wisconsin","Medicaid","AMR-AD","52.1","2019"
"Wisconsin","Medicaid","AMR-AD","62.3","2019"
"Wisconsin","Medicaid","AMR-AD","54.2","2019"
"Wisconsin","Medicaid","HPC-AD","35.4","2019"
"Wisconsin","Medicaid","HA1C-AD","90.3","2019"
"Wisconsin","Medicaid","CBP-AD","63.8","2019"
"Wisconsin","Medicaid","PPC-AD","65.5","2019"
"Wisconsin","Medicaid","ABA-AD","72.3","2019"
"Wisconsin","Medicaid","CCS-AD","62.3","2019"
"Wisconsin","Medicaid","CHL-AD","62.5","2019"
"Alabama","Medicaid","SAA-AD","79.3","2020"
"Alabama","Medicaid","AMM-AD","52.5","2020"
"Alabama","Medicaid","AMM-AD","24.3","2020"
"Alabama","Medicaid","COB-AD","20.6","2020"
"Alabama","Medicaid","SSD-AD","77.6","2020"
"Alabama","Medicaid","FUA-AD","7.8","2020"
"Alabama","Medicaid","FUA-AD","10.6","2020"
"Alabama","Medicaid","FUM-AD","27.1","2020"
"Alabama","Medicaid","FUM-AD","41.5","2020"
"Alabama","Medicaid","FUH-AD","32.9","2020"
"Alabama","Medicaid","FUH-AD","49.5","2020"
"Alabama","Medicaid","IET-AD","39.8","2020"
"Alabama","Medicaid","IET-AD","4.9","2020"
"Alabama","Medicaid","IET-AD","38.4","2020"
"Alabama","Medicaid","IET-AD","7.9","2020"
"Alabama","Medicaid","IET-AD","37.4","2020"
"Alabama","Medicaid","IET-AD","3.6","2020"
"Alabama","Medicaid","IET-AD","37.4","2020"
"Alabama","Medicaid","IET-AD","5.2","2020"
"Alabama","Medicaid","MSC-AD","76.2","2020"
"Alabama","Medicaid","MSC-AD","37.6","2020"
"Alabama","Medicaid","MSC-AD","42.9","2020"
"Alabama","Medicaid","OHD-AD","2.1","2020"
"Alabama","Medicaid","AMR-AD","53.7","2020"
"Alabama","Medicaid","AMR-AD","53.3","2020"
"Alabama","Medicaid","AMR-AD","53.6","2020"
"Alabama","Medicaid","CBP-AD","11.0","2020"
"Alabama","Medicaid","PQI01-AD","42.1","2020"
"Alabama","Medicaid","PQI05-AD","212.7","2020"
"Alabama","Medicaid","PQI08-AD","80.7","2020"
"Alabama","Medicaid","PQI15-AD","13.9","2020"
"Alabama","Medicaid","CCW-AD","29.0","2020"
"Alabama","Medicaid","CCW-AD","3.6","2020"
"Alabama","Medicaid","CCP-AD","6.4","2020"
"Alabama","Medicaid","CCP-AD","42.7","2020"
"Alabama","Medicaid","CCP-AD","0.9","2020"
"Alabama","Medicaid","CCP-AD","9.5","2020"
"Alabama","Medicaid","PPC-AD","42.9","2020"
"Alabama","Medicaid","ABA-AD","76.8","2020"
"Alabama","Medicaid","BCS-AD","41.8","2020"
"Alabama","Medicaid","CCS-AD","42.8","2020"
"Alabama","Medicaid","CHL-AD","11.4","2020"
"Arkansas","Medicaid","NCIDDS-AD","56.2","2020"
"Arkansas","Medicaid","NCIDDS-AD","89.2","2020"
"Arkansas","Medicaid","NCIDDS-AD","96.0","2020"
"California","Medicaid","SAA-AD","61.5","2020"
"California","Medicaid","AMM-AD","56.1","2020"
"California","Medicaid","AMM-AD","38.8","2020"
"California","Medicaid","COB-AD","11.2","2020"
"California","Medicaid","SSD-AD","77.1","2020"
"California","Medicaid","FUA-AD","7.6","2020"
"California","Medicaid","FUA-AD","14.2","2020"
"California","Medicaid","FUM-AD","49.8","2020"
"California","Medicaid","FUM-AD","62.6","2020"
"California","Medicaid","IET-AD","31.4","2020"
"California","Medicaid","IET-AD","6.2","2020"
"California","Medicaid","IET-AD","42.9","2020"
"California","Medicaid","IET-AD","13.8","2020"
"California","Medicaid","IET-AD","36.0","2020"
"California","Medicaid","IET-AD","8.9","2020"
"California","Medicaid","IET-AD","35.1","2020"
"California","Medicaid","IET-AD","8.5","2020"
"California","Medicaid","OHD-AD","4.7","2020"
"California","Medicaid","AMR-AD","53.8","2020"
"California","Medicaid","AMR-AD","57.4","2020"
"California","Medicaid","AMR-AD","55.1","2020"
"California","Medicaid","CBP-AD","61.1","2020"
"California","Medicaid","PCR-AD","0.9769","2020"
"California","Medicaid","PQI01-AD","13.6","2020"
"California","Medicaid","PQI15-AD","3.6","2020"
"California","Medicaid","BCS-AD","63.7","2020"
"California","Medicaid","CCS-AD","60.0","2020"
"California","Medicaid","CHL-AD","68.5","2020"
"Colorado","Medicaid","AMM-AD","64.2","2020"
"Colorado","Medicaid","AMM-AD","45.8","2020"
"Colorado","Medicaid","SSD-AD","80.3","2020"
"Colorado","Medicaid","AMR-AD","44.7","2020"
"Colorado","Medicaid","AMR-AD","47.3","2020"
"Colorado","Medicaid","AMR-AD","44.7","2020"
"Colorado","Medicaid","NCIDDS-AD","78.3","2020"
"Colorado","Medicaid","NCIDDS-AD","89.9","2020"
"Colorado","Medicaid","NCIDDS-AD","95.8","2020"
"Colorado","Medicaid","CCW-AD","21.1","2020"
"Colorado","Medicaid","CCW-AD","5.8","2020"
"Colorado","Medicaid","CCP-AD","10.0","2020"
"Colorado","Medicaid","CCP-AD","39.6","2020"
"Colorado","Medicaid","CCP-AD","1.5","2020"
"Colorado","Medicaid","CCP-AD","15.4","2020"
"Colorado","Medicaid","BCS-AD","33.9","2020"
"Delaware","Medicaid","SAA-AD","55.9","2020"
"Delaware","Medicaid","SSD-AD","75.6","2020"
"Delaware","Medicaid","PCR-AD","1.1950","2020"
"Delaware","Medicaid","CCW-AD","26.4","2020"
"Delaware","Medicaid","CCW-AD","5.1","2020"
"Delaware","Medicaid","CCP-AD","22.5","2020"
"Delaware","Medicaid","CCP-AD","48.6","2020"
"Delaware","Medicaid","CCP-AD","10.1","2020"
"Delaware","Medicaid","CCP-AD","18.7","2020"
"Delaware","Medicaid","PPC-AD","72.7","2020"
"Delaware","Medicaid","CCS-AD","72.5","2020"
"Delaware","Medicaid","CHL-AD","65.5","2020"
"Florida","Medicaid","SAA-AD","60.2","2020"
"Florida","Medicaid","AMM-AD","54.7","2020"
"Florida","Medicaid","AMM-AD","39.7","2020"
"Florida","Medicaid","SSD-AD","80.0","2020"
"Florida","Medicaid","FUA-AD","6.5","2020"
"Florida","Medicaid","FUA-AD","9.9","2020"
"Florida","Medicaid","FUM-AD","22.4","2020"
"Florida","Medicaid","FUM-AD","37.5","2020"
"Florida","Medicaid","FUH-AD","21.9","2020"
"Florida","Medicaid","FUH-AD","38.9","2020"
"Florida","Medicaid","IET-AD","47.8","2020"
"Florida","Medicaid","IET-AD","5.9","2020"
"Florida","Medicaid","IET-AD","47.0","2020"
"Florida","Medicaid","IET-AD","11.3","2020"
"Florida","Medicaid","IET-AD","43.1","2020"
"Florida","Medicaid","IET-AD","4.6","2020"
"Florida","Medicaid","IET-AD","44.0","2020"
"Florida","Medicaid","IET-AD","6.5","2020"
"Florida","Medicaid","MSC-AD","72.4","2020"
"Florida","Medicaid","MSC-AD","54.9","2020"
"Florida","Medicaid","MSC-AD","54.3","2020"
"Florida","Medicaid","AMR-AD","58.2","2020"
"Florida","Medicaid","AMR-AD","56.7","2020"
"Florida","Medicaid","AMR-AD","57.7","2020"
"Florida","Medicaid","HPC-AD","42.4","2020"
"Florida","Medicaid","CBP-AD","66.3","2020"
"Florida","Medicaid","PCR-AD","1.1449","2020"
"Florida","Medicaid","NCIDDS-AD","74.9","2020"
"Florida","Medicaid","NCIDDS-AD","93.6","2020"
"Florida","Medicaid","NCIDDS-AD","84.7","2020"
"Florida","Medicaid","CCP-AD","11.2","2020"
"Florida","Medicaid","CCP-AD","37.9","2020"
"Florida","Medicaid","CCP-AD","0.4","2020"
"Florida","Medicaid","CCP-AD","8.0","2020"
"Florida","Medicaid","PPC-AD","73.3","2020"
"Florida","Medicaid","ABA-AD","92.6","2020"
"Florida","Medicaid","BCS-AD","60.6","2020"
"Florida","Medicaid","CCS-AD","58.5","2020"
"Florida","Medicaid","CHL-AD","69.2","2020"
"Georgia","Medicaid","SAA-AD","38.3","2020"
"Georgia","Medicaid","AMM-AD","44.9","2020"
"Georgia","Medicaid","AMM-AD","27.3","2020"
"Georgia","Medicaid","SSD-AD","83.2","2020"
"Georgia","Medicaid","FUA-AD","7.7","2020"
"Georgia","Medicaid","FUA-AD","9.9","2020"
"Georgia","Medicaid","FUM-AD","36.2","2020"
"Georgia","Medicaid","FUM-AD","51.4","2020"
"Georgia","Medicaid","FUH-AD","45.4","2020"
"Georgia","Medicaid","FUH-AD","65.9","2020"
"Georgia","Medicaid","IET-AD","NR","2020"
"Georgia","Medicaid","IET-AD","NR","2020"
"Georgia","Medicaid","IET-AD","NR","2020"
"Georgia","Medicaid","IET-AD","NR","2020"
"Georgia","Medicaid","IET-AD","NR","2020"
"Georgia","Medicaid","IET-AD","NR","2020"
"Georgia","Medicaid","IET-AD","39.5","2020"
"Georgia","Medicaid","IET-AD","10.1","2020"
"Georgia","Medicaid","AMR-AD","49.6","2020"
"Georgia","Medicaid","AMR-AD","47.5","2020"
"Georgia","Medicaid","AMR-AD","49.5","2020"
"Georgia","Medicaid","HPC-AD","57.5","2020"
"Georgia","Medicaid","CBP-AD","44.8","2020"
"Georgia","Medicaid","PCR-AD","0.8068","2020"
"Georgia","Medicaid","PQI01-AD","14.5","2020"
"Georgia","Medicaid","PQI08-AD","7.4","2020"
"Georgia","Medicaid","NCIDDS-AD","77.3","2020"
"Georgia","Medicaid","NCIDDS-AD","94.3","2020"
"Georgia","Medicaid","NCIDDS-AD","83.4","2020"
"Georgia","Medicaid","PPC-AD","63.0","2020"
"Georgia","Medicaid","ABA-AD","87.8","2020"
"Georgia","Medicaid","BCS-AD","59.9","2020"
"Georgia","Medicaid","CCS-AD","67.6","2020"
"Georgia","Medicaid","CHL-AD","72.0","2020"
"Idaho","Medicaid","SAA-AD","78.7","2020"
"Idaho","Medicaid","AMM-AD","65.4","2020"
"Idaho","Medicaid","AMM-AD","NR","2020"
"Idaho","Medicaid","SSD-AD","83.6","2020"
"Idaho","Medicaid","FUA-AD","6.2","2020"
"Idaho","Medicaid","FUA-AD","10.1","2020"
"Idaho","Medicaid","FUH-AD","6.2","2020"
"Idaho","Medicaid","FUH-AD","10.1","2020"
"Idaho","Medicaid","HPC-AD","98.1","2020"
"Idaho","Medicaid","BCS-AD","27.4","2020"
"Idaho","Medicaid","CCS-AD","32.7","2020"
"Idaho","Medicaid","CHL-AD","42.9","2020"
"Illinois","Medicaid","NCIDDS-AD","64.1","2020"
"Illinois","Medicaid","NCIDDS-AD","89.6","2020"
"Illinois","Medicaid","NCIDDS-AD","92.4","2020"
"Indiana","Medicaid","AMM-AD","57.6","2020"
"Indiana","Medicaid","AMM-AD","43.0","2020"
"Indiana","Medicaid","SSD-AD","81.3","2020"
"Indiana","Medicaid","FUA-AD","13.6","2020"
"Indiana","Medicaid","FUA-AD","20.9","2020"
"Indiana","Medicaid","FUM-AD","38.1","2020"
"Indiana","Medicaid","FUM-AD","51.0","2020"
"Indiana","Medicaid","FUH-AD","33.3","2020"
"Indiana","Medicaid","FUH-AD","56.1","2020"
"Indiana","Medicaid","IET-AD","45.5","2020"
"Indiana","Medicaid","IET-AD","14.9","2020"
"Indiana","Medicaid","IET-AD","67.0","2020"
"Indiana","Medicaid","IET-AD","38.6","2020"
"Indiana","Medicaid","IET-AD","48.0","2020"
"Indiana","Medicaid","IET-AD","15.3","2020"
"Indiana","Medicaid","IET-AD","49.9","2020"
"Indiana","Medicaid","IET-AD","20.1","2020"
"Indiana","Medicaid","HPC-AD","55.0","2020"
"Indiana","Medicaid","CBP-AD","54.5","2020"
"Indiana","Medicaid","PCR-AD","0.9769","2020"
"Indiana","Medicaid","PQI01-AD","28.1","2020"
"Indiana","Medicaid","PQI05-AD","35.2","2020"
"Indiana","Medicaid","PQI08-AD","16.4","2020"
"Indiana","Medicaid","PQI15-AD","4.8","2020"
"Indiana","Medicaid","NCIDDS-AD","86.5","2020"
"Indiana","Medicaid","NCIDDS-AD","94.7","2020"
"Indiana","Medicaid","NCIDDS-AD","98.0","2020"
"Indiana","Medicaid","PPC-AD","87.0","2020"
"Indiana","Medicaid","ABA-AD","85.4","2020"
"Indiana","Medicaid","BCS-AD","56.2","2020"
"Indiana","Medicaid","CCS-AD","52.1","2020"
"Indiana","Medicaid","CHL-AD","58.5","2020"
"Iowa","Medicaid","SAA-AD","62.5","2020"
"Iowa","Medicaid","AMM-AD","56.5","2020"
"Iowa","Medicaid","AMM-AD","37.1","2020"
"Iowa","Medicaid","COB-AD","14.7","2020"
"Iowa","Medicaid","SSD-AD","76.7","2020"
"Iowa","Medicaid","FUA-AD","45.4","2020"
"Iowa","Medicaid","FUA-AD","52.3","2020"
"Iowa","Medicaid","FUM-AD","33.2","2020"
"Iowa","Medicaid","FUM-AD","49.9","2020"
"Iowa","Medicaid","FUH-AD","33.9","2020"
"Iowa","Medicaid","FUH-AD","55.8","2020"
"Iowa","Medicaid","IET-AD","35.2","2020"
"Iowa","Medicaid","IET-AD","14.8","2020"
"Iowa","Medicaid","IET-AD","47.8","2020"
"Iowa","Medicaid","IET-AD","33.0","2020"
"Iowa","Medicaid","IET-AD","37.6","2020"
"Iowa","Medicaid","IET-AD","17.5","2020"
"Iowa","Medicaid","IET-AD","37.1","2020"
"Iowa","Medicaid","IET-AD","17.3","2020"
"Iowa","Medicaid","MSC-AD","75.5","2020"
"Iowa","Medicaid","MSC-AD","48.7","2020"
"Iowa","Medicaid","MSC-AD","51.2","2020"
"Iowa","Medicaid","OHD-AD","11.7","2020"
"Iowa","Medicaid","AMR-AD","26.3","2020"
"Iowa","Medicaid","AMR-AD","20.6","2020"
"Iowa","Medicaid","AMR-AD","24.2","2020"
"Iowa","Medicaid","HPC-AD","96.3","2020"
"Iowa","Medicaid","PCR-AD","0.9812","2020"
"Iowa","Medicaid","PQI01-AD","23.1","2020"
"Iowa","Medicaid","PQI05-AD","96.8","2020"
"Iowa","Medicaid","PQI08-AD","34.5","2020"
"Iowa","Medicaid","PQI15-AD","6.5","2020"
"Iowa","Medicaid","CCW-AD","31.5","2020"
"Iowa","Medicaid","CCW-AD","6.0","2020"
"Iowa","Medicaid","CCP-AD","10.7","2020"
"Iowa","Medicaid","CCP-AD","37.5","2020"
"Iowa","Medicaid","CCP-AD","1.9","2020"
"Iowa","Medicaid","CCP-AD","11.6","2020"
"Iowa","Medicaid","ABA-AD","31.0","2020"
"Iowa","Medicaid","BCS-AD","56.5","2020"
"Iowa","Medicaid","CCS-AD","51.9","2020"
"Iowa","Medicaid","CHL-AD","53.5","2020"
"Iowa","Medicaid","FVA-AD","50.8","2020"
"Kansas","Medicaid","NCIDDS-AD","72.1","2020"
"Kansas","Medicaid","NCIDDS-AD","93.9","2020"
"Kansas","Medicaid","NCIDDS-AD","92.0","2020"
"Kentucky","Medicaid","NCIDDS-AD","43.2","2020"
"Kentucky","Medicaid","NCIDDS-AD","95.9","2020"
"Kentucky","Medicaid","NCIDDS-AD","89.9","2020"
"Maine","Medicaid","NCIDDS-AD","81.6","2020"
"Maine","Medicaid","NCIDDS-AD","98.2","2020"
"Maine","Medicaid","NCIDDS-AD","92.7","2020"
"Maryland","Medicaid","CBP-AD","61.0","2020"
"Maryland","Medicaid","ABA-AD","91.5","2020"
"Maryland","Medicaid","BCS-AD","67.6","2020"
"Massachusetts","Medicaid","SAA-AD","69.0","2020"
"Massachusetts","Medicaid","COB-AD","3.9","2020"
"Massachusetts","Medicaid","SSD-AD","81.4","2020"
"Massachusetts","Medicaid","MSC-AD","80.1","2020"
"Massachusetts","Medicaid","MSC-AD","56.2","2020"
"Massachusetts","Medicaid","MSC-AD","61.0","2020"
"Massachusetts","Medicaid","OHD-AD","8.0","2020"
"Massachusetts","Medicaid","AMR-AD","46.6","2020"
"Massachusetts","Medicaid","AMR-AD","57.2","2020"
"Massachusetts","Medicaid","AMR-AD","50.3","2020"
"Massachusetts","Medicaid","PQI01-AD","13.9","2020"
"Massachusetts","Medicaid","PQI05-AD","56.4","2020"
"Massachusetts","Medicaid","PQI08-AD","18.9","2020"
"Massachusetts","Medicaid","PQI15-AD","6.6","2020"
"Massachusetts","Medicaid","NCIDDS-AD","59.4","2020"
"Massachusetts","Medicaid","NCIDDS-AD","92.9","2020"
"Massachusetts","Medicaid","NCIDDS-AD","92.0","2020"
"Massachusetts","Medicaid","CCS-AD","70.1","2020"
"Massachusetts","Medicaid","CHL-AD","71.6","2020"
"Massachusetts","Medicaid","FVA-AD","48.8","2020"
"Michigan","Medicaid","SAA-AD","59.5","2020"
"Michigan","Medicaid","AMM-AD","50.7","2020"
"Michigan","Medicaid","AMM-AD","29.9","2020"
"Michigan","Medicaid","COB-AD","18.6","2020"
"Michigan","Medicaid","SSD-AD","80.3","2020"
"Michigan","Medicaid","FUA-AD","13.5","2020"
"Michigan","Medicaid","FUA-AD","22.7","2020"
"Michigan","Medicaid","FUH-AD","41.0","2020"
"Michigan","Medicaid","FUH-AD","61.6","2020"
"Michigan","Medicaid","IET-AD","32.3","2020"
"Michigan","Medicaid","IET-AD","8.5","2020"
"Michigan","Medicaid","IET-AD","50.0","2020"
"Michigan","Medicaid","IET-AD","28.4","2020"
"Michigan","Medicaid","IET-AD","31.2","2020"
"Michigan","Medicaid","IET-AD","6.8","2020"
"Michigan","Medicaid","IET-AD","35.4","2020"
"Michigan","Medicaid","IET-AD","12.2","2020"
"Michigan","Medicaid","OHD-AD","3.7","2020"
"Michigan","Medicaid","AMR-AD","47.8","2020"
"Michigan","Medicaid","AMR-AD","49.2","2020"
"Michigan","Medicaid","AMR-AD","48.2","2020"
"Michigan","Medicaid","PCR-AD","1.1172","2020"
"Michigan","Medicaid","PQI01-AD","23.8","2020"
"Michigan","Medicaid","PQI05-AD","73.7","2020"
"Michigan","Medicaid","PQI08-AD","29.2","2020"
"Michigan","Medicaid","PQI15-AD","8.4","2020"
"Michigan","Medicaid","CCW-AD","23.0","2020"
"Michigan","Medicaid","CCW-AD","2.9","2020"
"Michigan","Medicaid","CCP-AD","4.2","2020"
"Michigan","Medicaid","CCP-AD","30.1","2020"
"Michigan","Medicaid","CCP-AD","0.8","2020"
"Michigan","Medicaid","CCP-AD","8.5","2020"
"Michigan","Medicaid","PPC-AD","66.4","2020"
"Michigan","Medicaid","ABA-AD","64.1","2020"
"Michigan","Medicaid","BCS-AD","59.5","2020"
"Michigan","Medicaid","CCS-AD","48.2","2020"
"Michigan","Medicaid","CHL-AD","68.7","2020"
"Mississippi","Medicaid","SAA-AD","52.7","2020"
"Mississippi","Medicaid","AMM-AD","41.6","2020"
"Mississippi","Medicaid","AMM-AD","26.1","2020"
"Mississippi","Medicaid","COB-AD","7.4","2020"
"Mississippi","Medicaid","SSD-AD","71.9","2020"
"Mississippi","Medicaid","FUA-AD","3.2","2020"
"Mississippi","Medicaid","FUA-AD","5.6","2020"
"Mississippi","Medicaid","FUM-AD","23.9","2020"
"Mississippi","Medicaid","FUM-AD","39.4","2020"
"Mississippi","Medicaid","FUH-AD","28.8","2020"
"Mississippi","Medicaid","FUH-AD","52.7","2020"
"Mississippi","Medicaid","IET-AD","43.7","2020"
"Mississippi","Medicaid","IET-AD","4.7","2020"
"Mississippi","Medicaid","IET-AD","30.2","2020"
"Mississippi","Medicaid","IET-AD","11.7","2020"
"Mississippi","Medicaid","IET-AD","44.5","2020"
"Mississippi","Medicaid","IET-AD","4.5","2020"
"Mississippi","Medicaid","IET-AD","39.2","2020"
"Mississippi","Medicaid","IET-AD","6.1","2020"
"Mississippi","Medicaid","OHD-AD","1.7","2020"
"Mississippi","Medicaid","AMR-AD","48.8","2020"
"Mississippi","Medicaid","AMR-AD","45.8","2020"
"Mississippi","Medicaid","AMR-AD","47.9","2020"
"Mississippi","Medicaid","HPC-AD","57.0","2020"
"Mississippi","Medicaid","CBP-AD","46.8","2020"
"Mississippi","Medicaid","PCR-AD","1.1777","2020"
"Mississippi","Medicaid","PQI05-AD","24.3","2020"
"Mississippi","Medicaid","PQI15-AD","66.6","2020"
"Mississippi","Medicaid","CCW-AD","23.8","2020"
"Mississippi","Medicaid","CCW-AD","1.9","2020"
"Mississippi","Medicaid","CCP-AD","11.2","2020"
"Mississippi","Medicaid","CCP-AD","44.3","2020"
"Mississippi","Medicaid","CCP-AD","0.7","2020"
"Mississippi","Medicaid","CCP-AD","8.5","2020"
"Mississippi","Medicaid","PPC-AD","69.8","2020"
"Mississippi","Medicaid","ABA-AD","83.9","2020"
"Mississippi","Medicaid","BCS-AD","52.4","2020"
"Mississippi","Medicaid","CCS-AD","58.8","2020"
"Mississippi","Medicaid","CHL-AD","61.8","2020"
"Missouri","Medicaid","MSC-AD","83.0","2020"
"Missouri","Medicaid","MSC-AD","47.1","2020"
"Missouri","Medicaid","MSC-AD","55.1","2020"
"Missouri","Medicaid","NCIDDS-AD","73.0","2020"
"Missouri","Medicaid","NCIDDS-AD","96.7","2020"
"Missouri","Medicaid","NCIDDS-AD","96.8","2020"
"Missouri","Medicaid","FVA-AD","43.4","2020"
"Nebraska","Medicaid","NCIDDS-AD","65.4","2020"
"Nebraska","Medicaid","NCIDDS-AD","92.4","2020"
"Nebraska","Medicaid","NCIDDS-AD","94.5","2020"
"Nevada","Medicaid","SAA-AD","44.8","2020"
"Nevada","Medicaid","SSD-AD","80.4","2020"
"Nevada","Medicaid","FUA-AD","13.2","2020"
"Nevada","Medicaid","FUA-AD","18.0","2020"
"Nevada","Medicaid","FUM-AD","39.5","2020"
"Nevada","Medicaid","FUM-AD","48.9","2020"
"Nevada","Medicaid","FUH-AD","32.9","2020"
"Nevada","Medicaid","FUH-AD","49.2","2020"
"Nevada","Medicaid","IET-AD","42.2","2020"
"Nevada","Medicaid","IET-AD","11.6","2020"
"Nevada","Medicaid","IET-AD","57.2","2020"
"Nevada","Medicaid","IET-AD","24.6","2020"
"Nevada","Medicaid","IET-AD","45.5","2020"
"Nevada","Medicaid","IET-AD","10.3","2020"
"Nevada","Medicaid","IET-AD","45.5","2020"
"Nevada","Medicaid","IET-AD","13.3","2020"
"Nevada","Medicaid","HPC-AD","46.0","2020"
"Nevada","Medicaid","CBP-AD","57.1","2020"
"Nevada","Medicaid","PQI15-AD","5.6","2020"
"Nevada","Medicaid","NCIDDS-AD","71.1","2020"
"Nevada","Medicaid","NCIDDS-AD","91.8","2020"
"Nevada","Medicaid","NCIDDS-AD","88.2","2020"
"Nevada","Medicaid","CCW-AD","21.3","2020"
"Nevada","Medicaid","CCW-AD","3.4","2020"
"Nevada","Medicaid","CCP-AD","7.9","2020"
"Nevada","Medicaid","CCP-AD","27.4","2020"
"Nevada","Medicaid","CCP-AD","0.2","2020"
"Nevada","Medicaid","CCP-AD","4.7","2020"
"Nevada","Medicaid","PPC-AD","69.6","2020"
"Nevada","Medicaid","BCS-AD","53.8","2020"
"New Hampshire","Medicaid","SAA-AD","76.6","2020"
"New Hampshire","Medicaid","AMM-AD","60.7","2020"
"New Hampshire","Medicaid","AMM-AD","46.2","2020"
"New Hampshire","Medicaid","COB-AD","28.6","2020"
"New Hampshire","Medicaid","SSD-AD","82.7","2020"
"New Hampshire","Medicaid","FUA-AD","27.2","2020"
"New Hampshire","Medicaid","FUA-AD","41.2","2020"
"New Hampshire","Medicaid","FUM-AD","70.8","2020"
"New Hampshire","Medicaid","FUM-AD","78.7","2020"
"New Hampshire","Medicaid","FUH-AD","54.5","2020"
"New Hampshire","Medicaid","FUH-AD","72.8","2020"
"New Hampshire","Medicaid","IET-AD","47.6","2020"
"New Hampshire","Medicaid","IET-AD","17.9","2020"
"New Hampshire","Medicaid","IET-AD","64.0","2020"
"New Hampshire","Medicaid","IET-AD","39.6","2020"
"New Hampshire","Medicaid","IET-AD","38.5","2020"
"New Hampshire","Medicaid","IET-AD","12.0","2020"
"New Hampshire","Medicaid","IET-AD","49.7","2020"
"New Hampshire","Medicaid","IET-AD","22.8","2020"
"New Hampshire","Medicaid","MSC-AD","81.2","2020"
"New Hampshire","Medicaid","MSC-AD","56.0","2020"
"New Hampshire","Medicaid","MSC-AD","61.0","2020"
"New Hampshire","Medicaid","OHD-AD","13.5","2020"
"New Hampshire","Medicaid","AMR-AD","56.1","2020"
"New Hampshire","Medicaid","AMR-AD","50.3","2020"
"New Hampshire","Medicaid","AMR-AD","54.7","2020"
"New Hampshire","Medicaid","HPC-AD","34.9","2020"
"New Hampshire","Medicaid","CBP-AD","61.9","2020"
"New Hampshire","Medicaid","PCR-AD","1.2409","2020"
"New Hampshire","Medicaid","PQI01-AD","20.1","2020"
"New Hampshire","Medicaid","PQI05-AD","52.2","2020"
"New Hampshire","Medicaid","PQI08-AD","18.8","2020"
"New Hampshire","Medicaid","PQI15-AD","5.1","2020"
"New Hampshire","Medicaid","CCW-AD","28.6","2020"
"New Hampshire","Medicaid","CCW-AD","6.4","2020"
"New Hampshire","Medicaid","CCP-AD","11.9","2020"
"New Hampshire","Medicaid","CCP-AD","45.0","2020"
"New Hampshire","Medicaid","CCP-AD","2.1","2020"
"New Hampshire","Medicaid","CCP-AD","16.7","2020"
"New Hampshire","Medicaid","PPC-AD","79.2","2020"
"New Hampshire","Medicaid","ABA-AD","87.3","2020"
"New Hampshire","Medicaid","BCS-AD","56.4","2020"
"New Hampshire","Medicaid","CCS-AD","57.1","2020"
"New Hampshire","Medicaid","CHL-AD","54.7","2020"
"New Hampshire","Medicaid","FVA-AD","48.0","2020"
"New Jersey","Medicaid","NCIDDS-AD","43.6","2020"
"New Jersey","Medicaid","NCIDDS-AD","84.1","2020"
"New Jersey","Medicaid","NCIDDS-AD","93.9","2020"
"New Mexico","Medicaid","SAA-AD","52.4","2020"
"New Mexico","Medicaid","AMM-AD","55.8","2020"
"New Mexico","Medicaid","AMM-AD","38.4","2020"
"New Mexico","Medicaid","SSD-AD","78.6","2020"
"New Mexico","Medicaid","FUA-AD","12.1","2020"
"New Mexico","Medicaid","FUA-AD","19.1","2020"
"New Mexico","Medicaid","FUM-AD","38.7","2020"
"New Mexico","Medicaid","FUM-AD","51.2","2020"
"New Mexico","Medicaid","FUH-AD","22.1","2020"
"New Mexico","Medicaid","FUH-AD","36.6","2020"
"New Mexico","Medicaid","IET-AD","38.8","2020"
"New Mexico","Medicaid","IET-AD","13.1","2020"
"New Mexico","Medicaid","IET-AD","58.1","2020"
"New Mexico","Medicaid","IET-AD","26.8","2020"
"New Mexico","Medicaid","IET-AD","40.0","2020"
"New Mexico","Medicaid","IET-AD","11.0","2020"
"New Mexico","Medicaid","IET-AD","42.2","2020"
"New Mexico","Medicaid","IET-AD","15.1","2020"
"New Mexico","Medicaid","MSC-AD","70.1","2020"
"New Mexico","Medicaid","MSC-AD","47.9","2020"
"New Mexico","Medicaid","MSC-AD","42.5","2020"
"New Mexico","Medicaid","AMR-AD","49.8","2020"
"New Mexico","Medicaid","AMR-AD","57.3","2020"
"New Mexico","Medicaid","AMR-AD","51.9","2020"
"New Mexico","Medicaid","HPC-AD","52.0","2020"
"New Mexico","Medicaid","CBP-AD","47.9","2020"
"New Mexico","Medicaid","PCR-AD","0.8137","2020"
"New Mexico","Medicaid","PQI01-AD","21.5","2020"
"New Mexico","Medicaid","PPC-AD","66.3","2020"
